Domain,I+,I-,I0,IPH+,IPH-,IPH0,V+,V-,V0,VPH+,VPH-,VPH0,VA,VB,VC,IA,IB,IC,Type
0.54275,0.804397263,0.804397263,0.804397263,-2.544715672,-2.544715672,-2.544715672,74.4458178,74.4458178,74.4458178,-1.597207323,-1.597207323,-1.597207323,1,1,1,0,0,0,0
0.543,0.804397263,0.804397263,0.804397263,-2.544715672,-2.544715672,-2.544715672,74.4458178,74.4458178,74.4458178,-1.597207323,-1.597207323,-1.597207323,1,1,1,0,0,0,0
0.54325,0.804397263,0.804397263,0.804397263,-2.544715672,-2.544715672,-2.544715672,74.4458178,74.4458178,74.4458178,-1.597207323,-1.597207323,-1.597207323,1,1,1,0,0,0,0
0.5435,0.804397263,0.804397263,0.804397263,-2.544715672,-2.544715672,-2.544715672,74.4458178,74.4458178,74.4458178,-1.597207323,-1.597207323,-1.597207323,1,1,1,0,0,0,0
0.54375,0.804397263,0.804397263,0.804397263,-2.544715672,-2.544715672,-2.544715672,74.4458178,74.4458178,74.4458178,-1.597207323,-1.597207323,-1.597207323,1,1,1,0,0,0,0
0.544,0.80440032,0.80440032,0.80440032,-2.544719651,-2.544719651,-2.544719651,74.44582386,74.44582386,74.44582386,-1.597206889,-1.597206889,-1.597206889,1,1,1,0,0,0,0
0.54425,0.80440032,0.80440032,0.80440032,-2.544719651,-2.544719651,-2.544719651,74.44582386,74.44582386,74.44582386,-1.597206889,-1.597206889,-1.597206889,1,1,1,0,0,0,0
0.5445,0.80440032,0.80440032,0.80440032,-2.544719651,-2.544719651,-2.544719651,74.44582386,74.44582386,74.44582386,-1.597206889,-1.597206889,-1.597206889,1,1,1,0,0,0,0
0.54475,0.80440032,0.80440032,0.80440032,-2.544719651,-2.544719651,-2.544719651,74.44582386,74.44582386,74.44582386,-1.597206889,-1.597206889,-1.597206889,1,1,1,0,0,0,0
0.545,0.804401438,0.804401438,0.804401438,-2.544723236,-2.544723236,-2.544723236,74.44581904,74.44581904,74.44581904,-1.597206988,-1.597206988,-1.597206988,1,1,1,0,0,0,0
0.54525,0.804401438,0.804401438,0.804401438,-2.544723236,-2.544723236,-2.544723236,74.44581904,74.44581904,74.44581904,-1.597206988,-1.597206988,-1.597206988,1,1,1,0,0,0,0
0.5455,0.804401438,0.804401438,0.804401438,-2.544723236,-2.544723236,-2.544723236,74.44581904,74.44581904,74.44581904,-1.597206988,-1.597206988,-1.597206988,1,1,1,0,0,0,0
0.54575,0.804401438,0.804401438,0.804401438,-2.544723236,-2.544723236,-2.544723236,74.44581904,74.44581904,74.44581904,-1.597206988,-1.597206988,-1.597206988,1,1,1,0,0,0,0
0.546,0.804401366,0.804401366,0.804401366,-2.544727129,-2.544727129,-2.544727129,74.44586816,74.44586816,74.44586816,-1.597206536,-1.597206536,-1.597206536,1,1,1,0,0,0,0
0.54625,0.804401366,0.804401366,0.804401366,-2.544727129,-2.544727129,-2.544727129,74.44586816,74.44586816,74.44586816,-1.597206536,-1.597206536,-1.597206536,1,1,1,0,0,0,0
0.5465,0.804401366,0.804401366,0.804401366,-2.544727129,-2.544727129,-2.544727129,74.44586816,74.44586816,74.44586816,-1.597206536,-1.597206536,-1.597206536,1,1,1,0,0,0,0
